RA,DEC,x,y,F814W,F475W,C,field,M_err,C_err
49.44164614,41.33048911,919.3698187,2412.015974,26.13655543,31.88711603,5.750560601,V14WFC3,0.120598903,0.284893132
49.44273058,41.33049175,884.4041711,2346.807121,26.1592853,29.67242838,3.513143075,V14WFC3,0.122675046,0.290717484
49.45302149,41.33048248,555.3052424,1726.554959,26.3368957,29.39215464,3.055258935,V14WFC3,0.140178094,0.340525325
49.45565516,41.33047492,471.4858288,1567.604021,26.07239795,31.0663991,4.994001153,V14WFC3,0.114926382,0.269075161
49.46652149,41.33040311,128.859528,910.074683,25.91136431,27.61808298,1.706718667,V14WFC3,0.101836152,0.233133796
49.42418731,41.33038784,1486.900874,3459.396114,26.1883285,29.38247866,3.194150155,V14WFC3,0.125379941,0.298333178
49.42137085,41.33036273,1579.138558,3627.996561,26.08715129,27.88362322,1.796471932,V14WFC3,0.116206716,0.272632998
49.46726505,41.33031329,112.2207626,861.4575577,26.31118655,29.49074511,3.179558556,V14WFC3,0.137497767,0.332819083
49.44124088,41.33024718,951.764328,2426.102469,26.42042041,31.69250711,5.272086709,V14WFC3,0.14925194,0.366814666
49.44717925,41.3301902,766.0133076,2065.972582,25.29866481,29.91816965,4.619504845,V14WFC3,0.064281032,0.135109852
49.46301062,41.33018076,259.2643587,1112.031035,26.05565333,30.78611406,4.730460732,V14WFC3,0.113490322,0.265093337
49.46487223,41.33014158,202.717539,998.2373594,25.93017649,29.12069811,3.190521615,V14WFC3,0.103284983,0.237071592
49.44314408,41.33011122,901.6762753,2305.659139,26.33087039,29.79006548,3.459195092,V14WFC3,0.13954527,0.338703397
49.43129551,41.33008463,1283.492426,3018.254672,25.5763824,26.89154398,1.315161584,V14WFC3,0.079187135,0.173011376
49.44446853,41.33008363,861.442093,2224.702856,26.69433093,28.63561037,1.941279442,V14WFC3,0.183337024,0.468125416
49.41982202,41.32999714,1658.082638,3705.707999,25.94342875,29.53455668,3.591127923,V14WFC3,0.10431797,0.239885441
49.43702333,41.32989861,1114.88139,2665.2789,26.16249347,30.29102366,4.12853019,V14WFC3,0.122970943,0.291549084
49.42935883,41.32988797,1361.320825,3126.529755,25.63286471,31.22070299,5.58783828,V14WFC3,0.082618091,0.181934559
49.46657427,41.32976901,178.0239855,879.819413,26.15926623,30.62841234,4.469146111,V14WFC3,0.122673289,0.290712547
49.44140078,41.3296541,994.2142977,2391.159155,25.97355914,28.65903887,2.685479729,V14WFC3,0.106705185,0.246407934
49.44267808,41.32963452,954.8505824,2313.3835,26.28686023,28.84423258,2.557372353,V14WFC3,0.135008815,0.325687982
49.44254892,41.32957982,963.3775383,2318.829176,26.44793582,30.18533373,3.737397912,V14WFC3,0.152367928,0.375912122
49.45715899,41.32952054,499.8256945,1436.282817,26.07147097,26.46004282,0.388571847,V14WFC3,0.114846409,0.268853174
49.43373293,41.32950049,1252.254582,2846.499843,26.20412707,30.19402048,3.98989341,V14WFC3,0.12687628,0.302559319
49.42766222,41.3294803,1448.382012,3211.342125,26.33056521,31.21084261,4.880277398,V14WFC3,0.139513294,0.338611378
49.47040673,41.32947194,78.9563303,636.3174518,25.95127368,30.67551279,4.724239113,V14WFC3,0.104934328,0.241566864
49.44185265,41.32947259,994.2932429,2356.193354,26.24165988,31.22588167,4.984221795,V14WFC3,0.130503144,0.312841021
49.44771835,41.32934507,816.5255759,1997.427093,26.34475016,28.23177187,1.887021706,V14WFC3,0.141007339,0.342915072
49.41840283,41.32928407,1760.750825,3760.789713,23.44047999,26.40836634,2.967886345,V14WFC3,0.015924826,0.025832439
